labels,text
positive,知道 喜欢 男生 喜欢 怎么办
negative,那 还 说 好 狰狞 表情
positive,骗 以为 真的 噢 太 聪明 拉
positive,徐志摩 诗集 精选
negative,什么 情况 还 路上 不行 就 退货
positive,随便 电影 画皮 那 知道 自己 喜欢 干什么
positive,早起 锻炼 精神百倍
positive,虫 过来 善良 姐来 快 叫姐
negative,还 一首歌 这 首歌 不好 听
negative,可是 哪个 男人 不 同意
positive,喜欢 有钱 男人 还是 没钱
positive,谢谢 大家 谢谢 群主 啦
positive,聪明 那里 聪明
positive,解 自知 自明
positive,来看 过来 红色 一片
negative,属强 表示 刷图 很 轻松 懒得 弄 装备 就
positive,这 家伙 爱上 机器人
positive,好 音乐 关注
negative,小 变态 吧
negative,人 无聊 该 怎么办
negative,既然 简单 还 不快 发
positive,胖 天才 呢
negative,不好玩 学习 去 啦
negative,就 像是 愤怒 小鸟 里面 猪
positive,什么 有趣 说来听听
positive,大师傅 很多 渴望 企鹅 很 热 父亲 渴望 而
negative,觉得 很 恶心 人
positive,想 哭 方法 麽
negative,一脸 猥琐 相 再见
negative,梦 总 把 虚拟 去掉 呗 俺家 美女 瞅 瞅 呗
positive,允儿 漂亮 不
negative,不好 他 贱
positive,大多数 的话 日本 人 水桶 国防法 跟踪 和平主义者
positive,莪 嘴 诚实
positive,一般般 留恋 灯管
negative,优 乐美 恨
positive,刘 好看 电视剧
negative,叔叔 好 难受
positive,机器人 都 其乐无穷
positive,晚上 好 可可
positive,现在 觉得 个 透明人 呜呜
positive,介绍 给 好 听的歌 嘛
positive,当初 谁 说 都 悄悄的
negative,女婿 咱们 闹别扭
negative,额 别谈 钱 多 伤感情
positive,管群 功能 很 强悍
positive,阿Q 精神 什么
negative,才 讨厌 呢 又 没 说
negative,现在 世界 好 混乱
positive,晚上 上 夜班
negative,伤心 给 讲个 笑话 开心 吧
negative,说 完整 不行
negative,偶要 色情 服务
negative,很 难听 倒 事实
positive,我想 听名 侦探 柯南 歌曲 要 好听
positive,快乐 把 他 踢 吧
negative,要 手下留情 哦 机器人 小妹 可是 十八般 武器 样样 稀松
positive,副 主 更 漂亮
positive,出现 很 高兴
positive,以后 叫 喜洋洋
negative,机器人 歧视 你们
negative,妈 叫 叫 就 叫 那来 这么 多 废话
negative,裸聊 怎么 不 礼貌 啦
negative,心情 不好 帮 像 个 办法 发泄 一下 吧
negative,聊聊 社会 为什么 这么 多 败类 吧
negative,不好 笑 下 个
positive,梦想 一位 作家
negative,应不应该 删除 长期 不 说话 好友 呢
positive,大雪纷飞 天气 寒 天山 雪莲 微笑
positive,想 感谢 谁
positive,希望 中国 经典
positive,呵呵 高兴 不 弄 来
positive,高兴 看到 机器人
positive,机器人 好玩 吧
positive,如果 喜欢 一个 人 但是 没对 他 说 咋办
positive,也 很 喜欢 许嵩 喜欢 他 低调
negative,真心 没意思 而且 还吵
positive,想 更 方便 邮箱
positive,追 女孩子 方法
negative,也 行 麻烦
positive,喜欢 许嵩 歌 呢
positive,凶手 汤馆 可以 帮 搜罗 各种 好吃 地方
positive,小银 喜欢 人
negative,今天 生日 还 说 废话
positive,副 主 喜欢 谁
negative,今天 上班 很 烦躁
negative,洋娃娃 去 死
negative,理发师 最 讨厌 什么 儿
positive,早上 上 政治 科 怎么
positive,小伙 蛮 聪明
negative,冽 风九 不行 嘛
negative,好烦 睡不着 哦
positive,最新 美国 科幻电影
positive,话 说 今天 犯得 所有 错误 都 可以 被 原谅 你们 相信 不
positive,求 爱心 赞 解赞 必回
positive,突然 觉得 挺 开心
positive,你好 有趣 呵呵
negative,痛苦 啊啊啊 分手 一年 多 还是 痛苦
negative,居然 教训 起 来
negative,号 对 变态 来
negative,其實 想 說 跟 神說 話 不 容易 大家 慎重 哈 小心 噴血
negative,为什么 做 什么 都 错误
negative,讨厌 为什么 不去 医院
negative,老板 我要 投诉 小 机器人
positive,今天 有嘛子 好看
negative,说 手机 网速 太慢
positive,贝贝 她 大家 开心果
negative,越 爱 越 恨
positive,喜欢 杨 远程
positive,小 清新 还 上课
positive,欢迎 孙庄 人
negative,就 说 说 什么 说 什么 叫 去 死
positive,日 韩 美女
positive,还 蛮有意思 就 想到 这个
positive,分个 手有 什么 膜拜
positive,小 机器人 和平共处 啦 又 不是 杀夫 仇人
positive,请 帮 达 达 爱护
positive,飘 蝌蚪 说 他 喜欢
negative,明星 对 无理
negative,连 个 心情沉重 都 不 明白 干 啥 用
positive,秘书 自由 冷静 一下 吧
positive,范范 还是 觉得 比较 可爱
positive,想要 机器人 美女 还是 人类 美眉 呢
negative,为什么 爱 发火 怎么 能 改 坏脾气
positive,喜欢 听歌 睡觉
negative,一汽大众 唾弃 成
negative,额 好 难吃
positive,开心 跟 听 不 听 清楚 毛 关系
positive,心 被 牢牢 拴住 不可 解脱
positive,好 期待 答案
negative,干什么 呢 很 无聊
positive,什么 歌 好听 推荐 点
negative,乱 偷人 就是 不 对
positive,就 喜欢 糖果 骚劲 一样 哈哈哈
negative,额 这个 好无语 呢
positive,好 想 个人 关心
negative,捡 钱 还 不好
negative,上群 骂人 去
positive,能 安静 些 不
positive,只省 下 最后 一口气
positive,小 会 接受 小 系统 设置 还是 真人 呢
negative,怎么办 很 难过
positive,你好 诚实 奖励 棒棒糖 一个
negative,爸妈 吵架 心情 很 不好
positive,微笑 个 猪
positive,就 这句 中 听
negative,地下城 勇士 后用 外挂
negative,麻烦 请 先加 好友 再 聊天
negative,今天 开 号 真 变态
positive,给 来 一句 洗 干净 等 呢
positive,希望 以后 要 听 各位 哥哥 姐姐 的话
negative,滚 都 爷爷 看不上
negative,表情 惊恐 机器人 也 会 骂人
positive,他发 美女 诱惑
positive,山西省 晋中市 和顺县 天气
positive,好玩 吧 米诺
positive,汗 希望 得到 学习 好 方法
positive,记得 小时候 好玩 游戏
positive,明天 生日 祝 生日快乐
negative,就 喜欢 欺负 小孩
positive,郧县 哪 好玩
positive,你好 好玩 哈
negative,打电话 跟 老板 投诉 去
positive,带 震动 安全套
negative,咋 晚 谁 骂人
positive,正确 做爱 步骤
positive,还 有趣 嘛
negative,也 走神 时候 问 怎样才能 美白
positive,豆豆 咋 那么 可爱 类
positive,宝宝 喜欢 贝贝
positive,要是 很 喜欢 他 呢
negative,小美 这样 不 对
positive,嗯 幽默 人 愉悦
positive,还是 美女 集中营 管理 哦
positive,呢 个 爱好
negative,真的 不好 使
positive,幸运 测试
positive,周杰伦 什么 好听 歌曲
positive,东北 美女 多
positive,小三小四 你们 相爱 吧
positive,喜欢 方芳 怎么办
negative,就是 下班 无聊 才 找 聊天
negative,小看 一下 今天 娱乐 头条 什么
positive,详细 纳什 均衡
positive,呵呵 先 拜拜 咯 机器人 新年快乐
positive,互赞加 天天 按时 赞 只求 良心 回赞
negative,那 聊天 很 没意思
positive,医学 很 可爱 可爱 得 有点 差 哦
positive,说话 咋 能 好听
negative,六月 里 人 每 一次 忧
negative,老板 个 不良 品
positive,宝贝 们 说书 求赞 动动 你们 可爱 小手 顶下 呗
negative,木材 糊涂 难 啦 再 骂 吧 那 一脸
positive,冲动 最新 班得
negative,贫穷 用 英语 怎么 写
negative,可是 什么 就是 不好
positive,共 投入 一特 他 热
positive,周到 多 大
negative,斩 这个 极其 败类
positive,精确 问 大 咪咪 答 奴婢 主人 有何 吩咐
negative,翔宇 骗子 骗 小妹妹 糖 吃
positive,如果 一个男孩 喜欢 一个 女孩 那个 男孩 该 怎么办
negative,叫 花心 男滚
positive,机器人 也 会 感觉 深奥
positive,毛泽东 什么 真实
positive,算了 跟 聊天 真不给力
positive,文明 中国 不见得 呢
negative,呵呵 就 代表 不好
negative,想 说 最近 很烦 什么 办法 能 解忧
positive,哈哈 表情 得意
positive,好 什么 东西 比较 好吃
positive,问 被 一个 人 喜欢 什么 感觉
negative,小 机器人 你好 恶心
negative,呵呵 真的 走神
positive,求 好看 电视 连续剧
positive,美女 叫 都 没有 人来
positive,临汾 哪 便宜
positive,去 最高 山 疯
negative,你好 哦 怎么 感觉 上课 越来越 没意思
positive,那 直接 说 喜欢
negative,被 冤枉 人 都 很傻 抵死
positive,小艾 最 喜欢 演
positive,觉得 兔子 很 可爱
positive,心醉 我们 俩成 足球队
negative,无聊 时候 聊天 还 真 挺 有意思
positive,喜欢 什么 用 要 照相
negative,给 歌曲 都 不行 发 一点 泥煤
positive,后天 精彩 预告
negative,告诉 哪里 单身 美女 求 勾搭
positive,天 真的 老公
negative,敷衍 唐朝 谁 建立 也 不 知道 谁 信
positive,点点 要常来 哦 现在 群 在逃犯 带领 下 都 美女 帅哥 哦
positive,我刚 家里 事情 多 坐不住
negative,才 神经病 都 说 同性
positive,心灵 唱 吧
positive,管家 头像 真 漂亮
positive,天正 妈祖 晚才 好吃
positive,我要 当送 牛奶 银川 有木有 工资 不 限
negative,心里 不 舒服 给 讲个 笑话
positive,有人 喜欢 密码
positive,全世界 最 聪明 人
positive,又 认 个 爸爸
negative,小 助手 最 变态 怎么 理解
positive,别 指望 老 跳 那 只
positive,优雅 打得 蛮 好
positive,放放 更 健康
positive,万科 欢乐谷 活动
positive,那 要 跪拜
negative,心情 不好 该 做 啥
positive,打开 通讯 数字通讯
negative,送 去 神经 医院
negative,这个 冷笑 话 不好 笑
negative,今天 哥 心情 不太好
positive,爱 里 平常 美丽
positive,美女 比如 比小 叫 做 他 姐肯 不
negative,马化腾 脑子 有病
negative,哎呀 太 没劲
positive,幸福 天空 哪有 这么 好吃 别人
positive,广州 哪 一栋 楼 最高
negative,很多 说 什么 小羊 年 咋样 觉得 倒 也 无所谓
positive,我要 听 最 幸福 人
positive,好 吧 乖乖 亲亲 一口
positive,呵呵 膜拜 吧 我受 着 哈哈
negative,听众 加 好 快 哦 羡慕 嫉妒 恨
positive,哈哈哈 你好 文明
positive,知道 减肥 最好 办法
negative,懒洋洋 头上 什么
positive,什么 奖励 说说看
positive,安康 白水 高速
positive,快 来 广场 好玩
positive,那 意思 内心 强大 咯
negative,他妈的 外面 放烟火 吵死
negative,当 男友 不当 就 不理
negative,郁闷 终于 看到 耶
negative,咬起来 麻烦 一嘴 毛
negative,很 好 就是 不好
positive,师兄 爱妃 妹妹 喜欢 鼻子
positive,掌声 奖励 一把 屎
negative,骗赞 只 合作 一次 大爷
positive,机器人 竟然 还 知道 低调
negative,没意思 表情 抠 鼻
positive,什么 事情 算是 开心
negative,送 出去 跟 老大 投诉 这个 不 合格
negative,来 搜 打打 投诉
positive,对 未来 社会安定 北京 北京
negative,相信 薄熙来 被 陷害
negative,表示 拥有 女朋友 以后 对 好 兄弟 些 变得 自私 多杰 就 例子
negative,哎 机器人 辛苦
positive,哪个 管理 同意 进来
positive,开通 机器人 各项 功能
negative,知道 啦 找 介绍 个 行不行
negative,彻底 绝望 放弃 静静的 喝 着 水
negative,我晕 牛头不对 马脚
negative,那 这么 自信 说 出来 走 点 自负 表现
positive,幸福 给 介绍 给 个 对象
positive,好 吧 其实 喜欢
positive,好听 给 听
negative,很 奇怪 无 语
negative,小海 太 幼稚
positive,这个 号 主要 做 什么
negative,问 微笑 什么 答 花心 大萝卜
negative,他妈的 这些 天 好多 人 私密
positive,帮 想 办法 怎样才能 开心
positive,背后 是否 接受 对方
positive,好听 不 蓝恋
positive,额 领会 精神 就是 喊
positive,已经 最高 境界
negative,哼 机器人 讨厌 哼
positive,提鞋 很 可爱
negative,妈妈 给 吧
negative,底下 流 好多 血
positive,家族 什么 好听
positive,随 啦 意思 还 说 什么 乐意 服务
negative,不 对 猪
negative,说 失忆 帅哥 最坏
negative,不 吹牛 睡觉
positive,知道 桂林 哪里 最 好玩
negative,机器人 帮 改哈 给 改 这个 改 麻烦 得 很
negative,说 不 说 不说 算了
positive,所以 我们 都 叫 微笑
positive,她 说 得 很 清楚
positive,回家 跪 方便面 不许 碎
positive,小七 通过 审核 没有
positive,找 人 肯定 心里 都 有事
positive,这个 机器人 好玩 阿
negative,这 机器人 神经错乱
positive,也 慕名而来 而已
negative,呜呜 呜呜 呜 浩哥 脱单 难过
positive,黑鸟 太 老实
negative,果然 个 假 哥 居然 无聊 机器人 聊天
positive,喜欢 上 一个 人 怎么 才能 追到 他 呢
negative,他 妈 就是 个 病 机器人
positive,谁 说 文明 人
positive,刚好 相反 岁
negative,应不应该 还 只是 读书
positive,時閒 旒 逝 美女 呢
positive,正好 把 睡
negative,呵呵 怎么 很 辛苦 当 呵呵 什么 都 不 懂
positive,骚 狐狸 自由 还 没 结婚 哦
positive,看来 挺 乐于助人
positive,致敬 吃 吧
positive,快乐 欠 花
negative,可以 不 交流
negative,看 可是 不管 用
positive,够 理智 睡 啦
positive,呵呵 嗯 支持
positive,前面 珍惜 后面 名字
positive,那 又 变 聪明 方法
positive,请问 喜欢 哪 一个 明星
positive,欢迎 如果 通宵 它 都 欢迎
positive,给 讲点 做人 道理 塞
negative,可惜 太笨 连 一半 都 比不上
positive,那么 可爱 当然 喜欢
positive,安慰 那 美女
negative,麻烦 早泄 杨 老板 江门市 美容院 哪里
positive,年会 快乐 女生
positive,什么 时候 开通 群 签到
positive,宝宝 欢迎 美女
negative,估计 不 好吃
positive,笑 什么 这么 开心
positive,再 给 仨 赞 回 谢谢
positive,西南 什么 地方 美女 多
positive,脱裤子 可以 舒服
positive,上 哪里 剪头发 剪得 最好 呢
positive,哈 结婚 阿娇 客户 接 额花 爱好
negative,个 损色 唱 不好 就 别上去 显摆
positive,楚楚 那 雇来 这 活宝
positive,还有 木有 赞 乐 秒 赞 秒 回 哦
negative,才 真正 傻瓜 哈哈
positive,小 贱货 喜欢 女人
negative,牛 逼 无聊
negative,蝴蝶 手机 丢 心疼 不
positive,爱 五百万 还 高兴
negative,唉 有点 难过
positive,今天 打架 冲动
positive,也 喜欢 王子
negative,却 一点 都 不 高兴
positive,考 厨师 要 符合 什么 标准
negative,写 投诉信 咯
positive,绝对 爽到 家
positive,可以 帮 告诉 一个 叫 男生 说 爱 也 自尊
negative,可是 能量 没用
negative,机器人 姐姐 再 偷偷 给 我点 呗
positive,热恋 中 怎么办
positive,五 老板 晚上 好
negative,迷糊 时候 嘛
positive,明天 看中 俄 现在 慢慢 不 认识 呢
positive,自尊 要 什么样
negative,这 也 不行 吖
negative,亲爱 哒 姑娘 不好意思
positive,问 内向 怎么 变 外向
positive,心里 明白 记好 不要 说 出来
negative,呜呜 我会 很 伤心
negative,骂 几句 难听 恶化
positive,只要 说 漂亮 就理
positive,娟 娟 应该 知道 啥 月经 吧
positive,别跟我 谈 文明
positive,真乖 奖励 个 棒棒糖
negative,滚 绿色 单
positive,对 每个 人问 问题 次数 最高 限制
positive,这 浪漫 太 喜欢
negative,会 有人 讨厌
negative,要 跟 无常 一起
negative,妈 欠钱 不 还
negative,超 郁闷 耶
negative,老婆 也 不 方便
positive,星星 美女 俺 想
positive,怎么样 才 算 正确 名字
positive,那个 经验 能 干什么
positive,对 喜欢 晚秋
negative,服务 不行 我要 告诉 老板
negative,反对 发射点 法 蝴蝶花 赶得上 愤怒 上等兵 发觉 但是 按时 似的
positive,文明 一点点 世界 就 很 和谐
negative,也 想 失败 报纸 对 男友 谈
positive,亲 拜托 安静
positive,想 一直 幸福
negative,她 废话 那么 多
positive,嗯 这个 稍微 好笑 一点
positive,现在 有钱 不想 花 都 卖掉
positive,你好 梦想 什么
negative,天 哪 笨 得 令人 伤心
positive,麻利 点 要不然 老子 卸
negative,此刻 灰常 讨厌 男
positive,谁 世界 上 最 漂亮 大美女
positive,駙馬 凱凱 不错 欢迎 常 来
negative,水瓶座 人 花心
positive,嗯 聪明 笨
positive,一群 笨狼 只要 你们 给力 姐姐 就 心情 心情 才 会 大秀
positive,帮 加点 美女
negative,如果 说 不会 会 怎么样
positive,通过 呐 通过 呐
positive,请 正面 问答 问题 可爱 机器人
negative,靠 偷偷 撸
negative,机器人 难看 死
positive,这 叫 赞赏
positive,雨 中能 干什么
positive,现在 买 哪支 股票 最好
negative,现在 好 伤心 不 知道 咋 回事
positive,机器人 好 稀罕
negative,真 没劲 连个 女 都 没有
negative,違 反常 規
negative,觉得 自己 好 无助
positive,灵儿 乐于助人 奖励 金币 发送 签到 可以 增加 金币
negative,才 狰狞 勒
positive,喜欢 一个 人 就要 拥有
positive,问题 一个 小球 做 自由落体 运动 掉 沙坑 上 请 描述 能量 转化
positive,也 会 影响 安全
positive,给 证明 多 聪明
positive,知道 喜欢 小
positive,三个 人斗地 主要 几副 牌
positive,良心 就 出来 吧
negative,为什么 要 勉强
positive,编 一首 诗 赞美 小鸟
negative,什么 时候 换 名字 也 不 说
positive,床上 前拜 后 拜 随 高兴
positive,喜欢 陈冠希 什么
positive,哦 谢 啦 有没有 性别 生 还是 女生
positive,汕头 长荣 大厦 附近 什么 好吃
negative,我特 越来越 怀疑 假
positive,他 喜欢 上 三个 人
positive,哇噻 海宝 博士 耶 超 开心 耶
positive,勾魂 老公 上 飞机 回来 路上
positive,如果 一个 活生生 人 就 好 可以 想 说 什么 就 说 什么
negative,乐乐 来 临安 呢 为难
negative,嘘 看会 笑话
negative,想 问 怎么样 怎么 能 一个 女人 会 很 不 适应 吃 农家乐
positive,开通 个 吧
negative,发火 看 这
positive,我要 十个 漂亮 妹子
negative,就是 漂亮 不 明显
positive,汗水 少 人 身体健康
negative,坑 嘛 卑鄙 切可
negative,啦 啦 啦 有毒
positive,姐 好 好好
positive,滴 好 高兴
negative,好不容易 个 增产 成功
negative,妈妈 很 喜欢 讲 电话 可 很 讨厌 说 咋办
negative,恨 铁 不成 纲
negative,哪里 可爱 可爱 可爱 可怜 没人 爱
positive,那 张柏芝 谁 漂亮
negative,爷爷 妹妹 哥哥 妈妈 孩子 孩子 谁
negative,刷 喇叭 骂人
positive,我分 分钟 一口 盐汽水 喷死
positive,嗯 聪明 乱
negative,偷偷 告诉 我们
negative,服务 不周到 有心 用 却 不能 帮
positive,这 美女 肯 爆照
positive,先来 个 段子 欢迎 大家
positive,有活 美女 要是 的话 就 上来
positive,感动 请 吧
negative,回答 太 差劲
positive,小贝 好蛋 喜欢
negative,好 伤心 唱首歌 安慰
positive,博士 说 太 深奥
positive,学好 做 爱好
negative,怎么 欺负 老公 才 最好
positive,要 文明 机器人 对 吧
positive,遇見 伱 遇見 晴天 快乐 时光 已经 逝去 改名
negative,小 好 无聊 陪 聊 会儿 呗
positive,还 想 说 还 挺 挺 有理
negative,芸芸 都 对 无语
negative,问 答 好好 抠
positive,听说 爱 上 一个 大叔
positive,总 希望 别人 重视 可 自己 却 不 一定 重视 别人 这样 是不是 很 自私
negative,说 对 怎么 怎么 就 成 下流
positive,才 喜欢 谁
negative,关有 说话 伤心
positive,很 喜欢 小
positive,别 走火入魔 哥们
negative,疯子 抛弃 你 了 你 伤 的 这么 深
negative,再说 一句 不好 就 射 出去
positive,群主 木有 小鸡鸡 同意 顶 起
positive,机器人 更 开心 呢
positive,动作 好 利索
negative,他 也 是因为 空虚 而已
negative,怎么 不 方便 又 不是 私事
positive,晚上 能 干嘛 去
positive,特别 好玩 就 一个
positive,虫虫 帅哥 还是 比较 喜欢 拉
positive,花姐 好像 回赞
negative,经理 不 同意
positive,什么 可能 不是 也 不 知道
negative,骂人 不要 只是 这 一句
positive,幸福 跟 生活 一起
positive,刹 支持 大
negative,怪 爸妈 应 大家
positive,其实 内心 还是 很 善良
positive,美女 上 什么 都 不是
negative,妈 你别 唱 好
negative,你好 我们 发 卷子 题编 太差 我该 怎么办
positive,给 说 一个 有意思 一句 话 好
negative,可 最 讨厌 学习
positive,玲珑 手痛 啦
negative,别 伤心 俺 不是故意
negative,把 葬仪社 不 快乐 吧
positive,健身房 低价 哦
positive,可 觉得 用心 会 自己 觉得 快乐 只要 当 他 朋友 就 好
negative,翻译 色情 服务
positive,喜欢 多些 还是 她 多些
negative,想 强暴 一万次
negative,抠 也 不 例外
negative,放 吧 伤心 我下
negative,回头 又 害怕
positive,分别 一种 类似 热烈 日 呃 在家
negative,隐身 状态 什么 意思
positive,遇上 神马 开心 事
negative,魔鬼 排队 哦 两 一个 一个 来
negative,感觉 每天 都 无聊 透
negative,无聊 还 不如 退群
positive,主要 不 拉 这 关系
positive,可以 聪明 点
positive,跟 骨灰级 大师 聊天 真心 压力 好大
negative,帮个 鸟 错误 知道
negative,呆呆 知道 秘密
positive,呵 士气 温度 假如 果断 定期 限制 造成
positive,有点 小 进步 哦
positive,中午 好 梦露 饭饭 米
negative,求解 太极 健身操 对 大学生 身心健康 影响 学习体会
positive,赐个 吉利 吧
negative,别人 冤枉 就要 解释
positive,什么 时候 上 快乐 大本营 什么 时候 播出
positive,何 明达 几岁
positive,爱妃 今天 朕 宠幸
negative,逗比网 九儿 再 啰嗦 把 踢
positive,好 去 找 她 拜拜 谢谢
negative,网络 虚假 要 谨慎 这个 色狼
negative,日 咋 不 文明
positive,火凤凰 特种兵 好看
negative,说 不 说 就 下
positive,两位 美女 能 不能 安静 点
positive,那 告诉 什么 好看 电影
positive,那 可以 谈恋爱 还 说 没 考虑
positive,智能 机器人 聊天 真 有趣
negative,不行 就 聊 不能 抱抱
positive,开心 最好 没有 烦恼
negative,闭嘴 别 惹 惹 后果 很 严重
negative,那 心烦 时候
negative,贝贝 什么 事 这么 伤心
negative,可以 去 死 真 上帝 吃饭
negative,怎么 那么 老土 知道 歌 都 好 难听
negative,额 不 清楚 哎
negative,机器人 还 郁闷 不 可能
negative,老板娘 说 不好玩 要 开除
positive,洋洋 喜欢 方少
negative,七仔 真 调皮
positive,如果 给 一次 给 一次 机会 做 人类 愿意
positive,请问 激动 有没有 加油站
negative,机械 制造商 哪
positive,小银 找个 美女 过来
negative,神经元 神经 胶质 细胞
negative,天气 为啥 不好 使
negative,丫 教教 都 不行
positive,攒劲 姑凉 攒 劲 人 化隆 欢蛋 最 可爱
negative,不行 换 一换
positive,埃到 家 人们 却 不知 名义
negative,晕死 不是 用 号
positive,对 高中 谈恋爱 怎么 看
positive,西安市 什么 好吃 地方
negative,那 谁 他 说 他 也 难受
positive,都 能 干嘛 介绍 介绍
negative,坏蛋 不是 我
positive,总是 喜欢 胡思乱想 一点点 小 事情 就 可以 困扰 一整天
positive,您老 也 不 简单 哈
positive,能 接 风流倜傥 后面 成语 麽
negative,无语 会 聊天
positive,今天 谢谢 陪 聊天
negative,流氓 下流 你们 全家 十八代 祖宗 都 流氓 下流
negative,法面 泡子 来 反面
positive,明珠 广场 高新区 管委会 怎么 走
negative,可怕 欠 胆子 半 毛钱 所以 他们 有半 毛钱 关系
positive,民为 本 什么 意思 荣誉
positive,北京 天安门 多少 面 红旗
negative,这样 那 说 不 爱 咋办
negative,垃圾 哭死了 录取 浏览器 拒绝 旅途 咯 考虑 考虑
positive,那 一首 好听 呢
negative,表情 啤酒 这个 没用
negative,小 才疏学浅 实在 不 明白 说 什么
negative,伤 心情 哥 合适 听
negative,心里 难受 但 又 不知 从何说起
negative,多 签到 不行
negative,别搞 这 机械化
positive,什么 叫 望 采纳 做爱
positive,想 领证 之后 那种 需要 该 怎么 满足
negative,吃 早饭 表情 委屈
positive,思雨友 五一劳动节 快乐 玩 高兴
negative,难吃 好 个 毛线
positive,花花 喜欢 跟 说话
negative,不好 外说 什么 哇恩
positive,说 看 好看
negative,我家 电脑 太烂
positive,再 这样 装逼 把 低价 出售
positive,看 有钱 得
positive,知识 渊博 才华横溢
negative,滚 吧 退群 吧 老子 群 主要
positive,看到 有趣 事
positive,嗯 这 软件 真的 很 不错 有待 更新
negative,数学 不好 为此 父母 很 不 高兴 也 郁闷
positive,妹妹 好看 不
positive,给 放 一段 精彩 电影
positive,九妹 九妹 可爱 酒梅 酒 美酒 呢 吨 酒 呢
positive,双流县 中和镇 所有 好玩 地方
positive,地球 上 最 温柔 生物
positive,觉得 很 好 加油 希望 越办 越 好
negative,看看 我行 不行
negative,刚送 啦 嘤 嘤 听错 遗憾
negative,外面 太黑 当然 怕
positive,知道 高新 一中 不
positive,爱 真的 很 得意
positive,现在 还有 真心 朋友 没
negative,他 好 下流 哦
positive,很 谦虚 认为 说 特别 非常 格外 十分 尤其 相当 好
positive,为何 中国 人 喜欢 拜神
positive,如何 关心 一个 人
negative,真心 说 不过 机器人
negative,机器人 真的 虚拟
positive,静悄悄 啊呀 咦 咦 哦 打开 唱 好听
positive,给 脸 知道
positive,在乎 英语 怎么 说
positive,喜欢 喜欢 喜欢 喜欢 她
negative,为什么 这好 没 礼貌
negative,发现 不好玩 耶
positive,幸运 个 大头鬼
negative,灿少 去 死
negative,悄悄的 告诉 猪头
positive,太 有意思 吧
negative,好 吧 跟 说 也 白搭
negative,询 悠悠 记性 不好 不 记得
negative,这 不行 太慢
negative,嗒 嗒 嗒 就 去 死 证实 话锋一转 就 去 死
positive,两个 字 网名 美女
negative,他妈的 就 知道 郑州
positive,噗 好 聪明
positive,哎哟 这是 系统 还是 自动 回答 不错 嘛
negative,哈哈 也 会 有无 语 时候
positive,海雅 百货 深圳湾 体育中心
positive,低调 沫儿 大 丧失
positive,中意 雷 什么 意思
negative,尼玛 以前 都 挺好玩
negative,讨厌 就关 呗
positive,老子 都 及格
positive,弟弟 喜欢 一个 人 就 一定 要说 出口
negative,名字 叫 小可爱 行不行
positive,时尚 芭莎 什么
positive,这 几天 那么 喜欢 睡觉 怎么回事
positive,陌上 花 开 喜欢 小乐 比
negative,跟 无聊 诶
positive,谁 唱 好听
positive,里面 游戏 根本 图 不 一样
positive,只是 小 显身手 做人 要 低调 点 兄弟
negative,群 马甲 格式 错误
negative,呵呵 呵别 把 这 垃圾 混为一谈
positive,如果 有理 的话 拒绝 给 他
positive,陈新 一下 真正 经济
negative,讨厌 周星星 原因
positive,小 二 给 来 个 美女
negative,我要 投诉 投诉 电话 多少
positive,求赞 亲 回赞
negative,好 无聊 去死吧
negative,比较 邪恶 喔
positive,平安夜 已经 过 啦
positive,呵呵 今天天气 不错 噢
positive,女朋友 要 生日 怎么 准备 惊喜
negative,烹饪 绍 什锦
positive,好 文明 一点
negative,给 西西个 最差 人品 好 不
negative,嗯 那 说 不 认识
negative,真的 被 人 讨厌
positive,娃娃 你好 可爱
negative,老是 吃 飯 不 正常
positive,好 吧 好开心 哈哈
positive,喜欢 陈翔 快 男 那个
positive,给 群 里拉 人 顶 人气 信誉 群主 以后 会发 福利
positive,太 幽默 哈哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈
negative,看来 这个 宝宝 汉语拼音 学 不好
negative,唉 谁 登 郁闷
negative,一点 都 不好玩 还 以为 能装 多久 呢 这么 快 就 露馅
positive,喜欢 吃 三文鱼
positive,怎么 关掉 美女
positive,快乐 生活 谁
negative,说 不准 未来 会 什么 灾难
positive,你好 诺安 十足
negative,荒唐 现在 没 人 赶紧 验证
positive,相好 没
negative,赚 不好 卖
positive,各地风俗 差异 太大 俺 要 好好 了解 了解
positive,微笑 话 卑
positive,好 既然 聪明 那 问 一道 题
positive,找个 真心 老婆
negative,这妈 到底 什么 玩意
positive,美女 怎末 进群
negative,可 不 满意 而且 也 不乐意
positive,以 为 中心 全部
positive,欣欣 要 叫 姐姐
positive,也 喜欢 什 麽
negative,牛头不对 马面 去
positive,到家 啦 小 而已
positive,日子 真的 很 好玩
positive,好 吧 意大利 牛排 加 意大利 菠萝 口味 拿 铁 中国 哪有卖
negative,怎么 说不出来 喜欢 哪里
positive,看书 呢 喜欢 什么
positive,二人 都 相爱
negative,唉 不 应该 说 什么
positive,院长 好 漂亮 哦
negative,你们 真 差劲
negative,那 还 糊涂 什么 呢
negative,无 语 不是 药
negative,心情 不好 不 帮帮我
positive,谢谢 唱歌 支持
negative,安静 醉醉 儿 而 该 换代 咯 吧 很 愤怒 样子
positive,自知之明 知道 自己 笨 不错
negative,哭 当然 不好
positive,昨晚 太阳 不错 吧
positive,人有 什么 好吃 饭店
